MOVIE_NAME,PREDICTED_GENRES
 Samba on Your Feet (2005) ,"(' documentary ',)"
" ""Baggage on the Road"" (2015) ",()
 The Triumph and Tragedy of World Class Championship Wrestling (2007) ,"(' documentary ',)"
 Zerstörung von Zeit (????) ,"(' documentary ',)"
 Sierra (2017) ,"(' comedy ',)"
 Vacant Sky Vol. I: Contention (2008) ,()
 The Aussie Who Baffled the World (2011) ,"(' documentary ',)"
 Versicherungsvertreter 2 - Mehmet Göker macht weiter (2015) ,"(' drama ',)"
 Dance Madness (1926) ,"(' comedy ',)"
 Poetry Saved Our Lives (2016) ,()
 King of the Wild Horses (1947) ,()
" ""Grand Theft Auto V"" (2015) ","(' crime ',)"
 American Mind Control: MK Ultra (2015) ,"(' documentary ',)"
" ""Guy Code"" (2011) ",()
 Black Sorority Project: The Exodus (2006) ,()
" ""Dream of Dakar"" (2013) ","(' documentary ',)"
 Gone (2006/III) ,"(' documentary ',)"
 The Border Legion (1924) ,"(' western ',)"
 Fort Yuma (1955) ,"(' western ',)"
 Traces of Indignity (2018) ,()
" ""Ubiystvo na troikh"" (2015) ","(' comedy ',)"
 Elveszett illúziók (1983) ,()
 Lawless Cowboys (1951) ,"(' western ',)"
" ""How to Be an Adventurer"" (2015) ","(' comedy ',)"
 The Danger Tree (1997) ,"(' documentary ',)"
" ""Nature's Miracle Babies"" (2011) ","(' documentary ',)"
" ""Obie's Cookies"" (2015) ",()
 Transplant Tourism (2003) ,"(' documentary ',)"
 What's So Funny? (2004) ,()
 Look Again (2015) ,()
 Personal Demons (????/II) ,()
" Real Fake: The Art, Life & Crimes of Elmyr De Hory (2017) ","(' documentary ',)"
 Sargad själ (2000) ,"(' short ',)"
 The Richard Pryor Special? (1977) ,()
 Adoration: A Natural History (2015) ,"(' documentary ',)"
" ""Roadmap... Next Turn Adulthood"" (2017) ",()
 Murder: Ultimate Grounds for Divorce (1984) ,"(' comedy ', ' drama ')"
 Nicht schon wieder Rudi! (2015) ,()
 A Walk Into a Split Mind (????) ,()
 Thirteen Knots (????) ,"(' drama ',)"
 Great Day (1945) ,"(' drama ',)"
 Tribal Negotiations (2009) ,"(' war ',)"
 Il faut tuer Birgitt Haas (1981) ,()
 Surajya (2014) ,"(' drama ',)"
 Het einde van de wereld (1995) ,"(' documentary ',)"
" ""The Romper Room"" (1964/I) ",()
 Ennavale (2001) ,"(' comedy ',)"
" ""BKB Unfiltered"" (2014) ","(' documentary ',)"
 Lost Kruger Gold (????) ,()
 Pásztor (2013) ,"(' documentary ', ' drama ')"
 Blondie (2012) ,"(' drama ',)"
" ""Model Idiots"" (2012) ","(' comedy ',)"
 Freistatt (2015) ,"(' drama ',)"
 Ek Var Piyu Ne Malva Aavje (2006) ,()
 Behind the Camera: The Unauthorized Story of 'Diff'rent Strokes' (2006) ,"(' comedy ',)"
 Oliver Twist (1948) ,()
 Maggie's Passage (2009) ,"(' drama ',)"
 Cave of Outlaws (1951) ,"(' western ',)"
 Cricket Nation (2012) ,"(' documentary ',)"
" ""Hotel Kingston"" (2006) ",()
 Industria Argentina (2012) ,"(' drama ',)"
 Passions (1984) ,"(' drama ',)"
 A Cold Summer Night (2015) ,"(' drama ',)"
 Une histoire de femmes (1980) ,"(' documentary ',)"
 Madrasa (2013/II) ,"(' drama ',)"
 When the Applause Died (1990) ,"(' documentary ',)"
 Shob Charitro Kalponik (2009) ,"(' documentary ',)"
" ""Small World"" (2014/II) ","(' documentary ',)"
" ""The Secret Life of Scientists and Engineers"" (2009) ","(' documentary ',)"
" ""Tessa & Scott"" (2014) ","(' documentary ',)"
 Wait 'Til Your Father Gets Home (2002) ,()
" ""Rock City Limits"" (1998) ",()
 Accepted (2006) ,()
 Elsewhere (2016/III) ,"(' documentary ',)"
 Visceral: Entre las cuerdas de la locura (2012) ,"(' drama ',)"
 Never Can Say Goodbye: When Love and Hate Survive Death (????) ,()
 Check for Me (2012) ,()
 Spider-Man XXX: A Porn Parody (2011) ,"(' comedy ',)"
 Jin Nian Yi Ding Yao Jia Chu Qu (2011) ,"(' drama ',)"
 The Legend of the GSG9 (????) ,"(' drama ',)"
 Mask of Love on Yukio Mishima (2009) ,()
 Der letzte Mann (1924) ,()
 Le nicoeur (2005) ,()
 To Patch a Broken Star (2018) ,()
 Revival 41 (2013) ,()
 Fliegen (2009) ,()
 Rue Huvelin (2011) ,"(' documentary ', ' drama ')"
 Constellation (2005) ,"(' drama ',)"
 Pippa and Brian are Getting Married (2011) ,()
 O Conto de Inverno (1995) ,"(' drama ',)"
 Leçons de Français (2009) ,"(' documentary ',)"
 Tama Ma: A Life of Dance (2010) ,"(' documentary ',)"
" I Did, Will You? (2014) ",()
" ""Ne bylo by schastya"" (2012) ","(' drama ',)"
" ""Hong Mo Fang"" (2006) ",()
 Adventuress Wanted (2009) ,()
 Under the Black Cloud (2011) ,()
 Gate (2013/II) ,()
 Tersine dünya (1993) ,"(' drama ',)"
 Dear Phone (1976) ,()
 Adágio ao Sol (1996) ,"(' drama ',)"
 Roominations (2015) ,"(' drama ',)"
 Lyubovnoto lyato na edin lyokhman (1990) ,()
 Hector (2015) ,"(' documentary ', ' drama ')"
 Aksuat (1999) ,"(' drama ',)"
 Betrothed (2016) ,()
 Robert Motherwell: Summer of 1971 (1972) ,"(' documentary ',)"
 Out of Commission (2011) ,"(' drama ',)"
 William & Catherine: A Royal Romance (2011) ,"(' drama ',)"
 Madonna of Avenue A (1929) ,"(' drama ',)"
 The Eskimo and the Whale (2005) ,"(' documentary ',)"
 Treasure Coast (2010) ,"(' documentary ',)"
 Pandora's Promise (2013) ,"(' documentary ',)"
 Calvaire (2004) ,()
 Stuart: A Life Backwards (2007) ,()
 Why We Train (2008) ,"(' documentary ',)"
 Hobbes & Phil V.S. Zombies (2015) ,()
 This Is the Life (2008) ,"(' documentary ',)"
" Anverj pakhust, haverzh veradardz (2014) ","(' documentary ',)"
 Calvin & Sweetpea (2007) ,"(' documentary ',)"
" Explore3D Travel: Moscow, Russia (2011) ",()
 Con Express (2002) ,()
 The Moonstone (1915) ,()
 Yubiwa wo hametai (2011) ,"(' drama ',)"
 It Happens Every Thursday (1953) ,"(' comedy ',)"
 Thodisi Bewafaii (1980) ,"(' drama ',)"
 Dar miane abrha (2008) ,()
 Circle the Wagen (2013) ,"(' drama ',)"
 All Ear is Dread Hear (2011) ,"(' drama ',)"
 The Last Lineage Opera in Zhouguan Village (2017) ,"(' documentary ',)"
" ""Ultimate Dealers"" (2014) ",()
 Janoub (2008) ,"(' documentary ',)"
 Bible Quiz (2013) ,()
 Robotelul de aur (2015) ,()
 Time Is Art: Synchronicity and the Collective Dream (2015) ,()
" ""Behaving Badly"" (1989) ","(' comedy ', ' drama ')"
 Popat (2013) ,()
 The Blood Grinder (2008) ,()
 Stage (1996/II) ,"(' drama ',)"
 Genetisphere (2009) ,"(' documentary ',)"
 Spelen of sterven (1990) ,"(' short ',)"
 13 Ghosts (1960) ,"(' horror ',)"
 Gandu (2010) ,"(' drama ',)"
" Poe, a Metaphysical Love Story (????) ","(' drama ',)"
 The DC Five Memorial Film (1969) ,()
 Skullgirls (2012) ,()
 The Dark Side of Innocence (1976) ,"(' drama ',)"
 The Pilot (2008) ,"(' drama ',)"
 Whatever Happened to Oscar (2002) ,"(' documentary ',)"
 The Outcasts (2017) ,()
 Welcome to New Orleans (2006) ,"(' documentary ',)"
 List otbrulen (2002) ,()
 Broken Journey (1948) ,"(' drama ',)"
 Borisek - malý serzhant (1976) ,"(' drama ',)"
 The Once: Live at the Stagehouse (2014) ,"(' music ',)"
 To Your Health (1956) ,"(' documentary ',)"
 Killing Lionel (????) ,"(' comedy ',)"
 Berkeley in the Sixties (1990) ,"(' documentary ',)"
 Dark and Bloody Ground (2007) ,()
" Died Young, Stayed Pretty (2008) ","(' documentary ',)"
 Brent Hinds: The Sound and the Story (2015) ,"(' documentary ',)"
 The Man with the Golden Hand (2014) ,()
 Betty Bangkok (????) ,"(' drama ',)"
 Badgerantes (2017) ,"(' documentary ',)"
 How to Make It in Hollywood (2017) ,()
 5 O'Clock Orange (2012) ,()
 Lost Treasures of the Ancient World: Ancient Rome (1999) ,"(' documentary ',)"
 L'étrangleur (1970) ,()
" ""LA to Vegas"" (2017) ","(' comedy ',)"
 Les Roquevillard (1943) ,"(' drama ',)"
 Predator Short Tales (2004) ,"(' documentary ', ' short ')"
 The Handgun Squad Part II (????) ,()
" Un autre homme, une autre chance (1977) ","(' drama ',)"
 Survival of a Woman (2007) ,"(' drama ',)"
 Cerná srdce (2008) ,"(' documentary ',)"
 Consuming Kids: The Commercialization of Childhood (2008) ,"(' documentary ',)"
" ""ER Nights"" (2012) ","(' drama ',)"
 Thompson's Night Out (1908) ,"(' comedy ', ' short ')"
 Tina Landon Behind the Moves (2003) ,"(' music ',)"
 Oneului yeonae (2015) ,"(' drama ',)"
 Transference: Escape the Dark (2018) ,"(' drama ',)"
 Timeless Scent (1992) ,"(' documentary ',)"
 Umang (2010) ,"(' drama ',)"
 Tantric Anal Sexaulity Between Gay Men (2015) ,()
 The Metlife South Asian Spelling Bee (2008) ,()
" ""Average Dicks"" (2015) ",()
 Guns: A Day in the Death of America (1990) ,"(' documentary ',)"
 El millionaire el fakir (1959) ,"(' comedy ',)"
" ""Families at the Crossroads"" (2013) ","(' drama ',)"
 Little Red Devil (2008) ,()
 Becoming Monkey (2008) ,"(' short ',)"
 Damage Control (2008) ,"(' documentary ',)"
" ""Turkey Television"" (1985) ","(' comedy ',)"
 Jomblo (2017) ,"(' drama ',)"
" Venerable Geshe Tsulga, a Single Day in the Lifetime of Practice (2007) ","(' documentary ',)"
 Whole Self In (2018) ,()
" ""Gallery of Guns TV"" (2011) ",()
 Matrimoni (1998) ,"(' drama ',)"
" ""The National Lottery Big Ticket"" (1998) ","(' game-show ',)"
 A Successful Failure (1934) ,"(' comedy ',)"
 Death at Mark Twain (????) ,()
 Gorillas: A Journey for Survival (2009) ,"(' documentary ',)"
 Nesmith Live (1992) ,"(' music ',)"
 Romance at Frisky's Bar: An Unromantic Comedy (2009) ,()
 The Anonymous People (2013) ,"(' documentary ',)"
" The Bowden Dynasty: A Story of Faith, Family & Football (2017) ",()
" Embrasse-moi, c'est pour la vie (1993) ",()
 El bracero (2008) ,"(' documentary ',)"
 Symbiopsychotaxiplasm: Take 2 1/2 (2005) ,"(' documentary ',)"
 Bimilae (2010) ,"(' drama ',)"
 To verdener (2008) ,"(' drama ',)"
 How Do You Like Me Now? (2016) ,"(' documentary ',)"
 The Face at the Window (2004) ,"(' short ',)"
 Dirty Scoundrels (2001) ,()
 Marshal of Heldorado (1950) ,"(' western ',)"
 She Is a Spy (2012) ,()
 Toula ou Le génie des eaux (1974) ,"(' drama ',)"
 Romper Room Gang (????) ,()
" ""Vendetta"" (2012) ","(' action ',)"
 Miss Wonton (2001) ,"(' drama ',)"
 The Fox (2017/II) ,()
 Krehké vztahy (1980) ,()
 Grindhouse Zombies (2016) ,"(' horror ',)"
 De potloodmoorden (1982) ,()
 A Man Before His Time (2015) ,"(' documentary ',)"
 Stalked (2000) ,()
" ""Lost Survivors"" (2013) ",()
 The Suzanne Somers Special (1982) ,()
 Versus Ivan (2004) ,"(' drama ',)"
 Stanley Rubin: A Work in Progress (2008) ,"(' documentary ',)"
 Ashes of K (2016) ,"(' drama ',)"
" ""Herrie om Harrie"" (1963) ","(' comedy ',)"
" ""Love Family"" (2013) ","(' drama ',)"
 Dig (2008/I) ,()
 Ithaki (2005) ,"(' documentary ',)"
 Spoken van Viggo (2014) ,()
 What Do You Think? (Number Three) (1938) ,"(' drama ',)"
 Kud plovi ovaj brod (2002) ,()
 Galileo's Sons (2003) ,"(' documentary ',)"
 Due notti con Cleopatra (1954) ,"(' drama ',)"
 Bye Bye Love (1995) ,"(' drama ',)"
 25th Hour (2002) ,"(' drama ',)"
" Underland, the Last Surfacer (????) ",()
 Hopheads: A Beer Story (2008) ,"(' documentary ',)"
 All the Winters That Have Been (1997) ,"(' drama ',)"
" ""Gimme the Mike"" (2004/I) ",()
 Miles to Go (2012) ,()
" ""WingMen"" (2016) ",()
 Generación Spielberg (2014) ,"(' drama ',)"
 In Denial of Murder (2004) ,()
 Turnovskata konstitutziya (1998) ,"(' documentary ',)"
 Montessori Rising (2014) ,"(' documentary ',)"
 Pio thermi kai ap' ton ilio (1972) ,"(' drama ',)"
" ""Digfellas"" (2013) ",()
" ""The Next Iron Chef"" (2007) ",()
 Last Day of School (2016/I) ,"(' comedy ',)"
 The Moment (2017/IV) ,"(' documentary ',)"
 Thais (1917/I) ,"(' drama ',)"
 The 23rd Annual Grammy Awards (1981) ,"(' music ',)"
" C'était un Québecois en Bretagne, Madame (1977) ",()
 A Night Long Nirvana (2014) ,"(' comedy ', ' drama ')"
 Four Shall Die (1940) ,"(' comedy ',)"
 A Brivele der mamen (1938) ,"(' drama ',)"
 Prime (????/I) ,()
 American Saturday Night: Live from the Grand Ole Opry (2015) ,"(' comedy ', ' music ')"
 Le clandé aux partouzes (1977) ,()
 Spravka (2005) ,"(' drama ',)"
 Libya in Motion (2015) ,"(' drama ',)"
" ""Indradhanush"" (1989) ","(' sci-fi ',)"
" ""Klondike Trappers"" (2015) ","(' documentary ',)"
" Marlon Brando, un acteur nommé désir (2014) ","(' documentary ',)"
 Stimulantia (1967) ,()
 Zehirli hayat (1966/II) ,"(' drama ',)"
 Sisters in the Name of Rap (1992) ,()
 Harrad Summer (1974) ,()
" ""TominationTime"" (2016) ",()
" ""Loma Verde"" (2010) ",()
 Zoo Zappers -Too Hot -The Movie (from Disco to Disco) (2011) ,()
 When Mama Returns (2004) ,"(' drama ',)"
 Bobbys krig (1974) ,"(' drama ',)"
 Variety (1983) ,"(' documentary ',)"
 Broken (2017/IX) ,"(' documentary ',)"
 Pardé (2013) ,"(' drama ',)"
 Remembering Jimmy O'Dea (1985) ,"(' documentary ',)"
 The Compass (2015) ,"(' drama ',)"
 A Bayou Legend (1981) ,"(' music ',)"
 Our American Days (2014) ,"(' documentary ',)"
" ""From Date to Mate"" (2009) ","(' documentary ',)"
 Yak daiyin wa rak kan (2010) ,()
 Invunches (2014) ,"(' drama ',)"
 Django (????/II) ,()
 Parole (1982) ,"(' drama ',)"
 Father: Tale of Love (2016) ,"(' drama ',)"
 Dobe and a Company of Heroes (2002) ,"(' comedy ',)"
 The Touch (2005) ,"(' documentary ', ' drama ')"
 Kamyu nante shiranai (2005) ,"(' comedy ', ' drama ')"
 Maurizio Cattelan: Be Right Back (2016) ,"(' short ',)"
 La Fiebre del Loco (2001) ,()
" Our Bodies, Our Minds (2001) ","(' documentary ',)"
 A Tribute to Sam Kinison (1993) ,"(' documentary ',)"
 Missed Connection (2006) ,"(' short ',)"
 My Own Worst Enemy (2019) ,"(' drama ',)"
 Toros Canavari (2011) ,"(' documentary ',)"
 Space Tourism (2011) ,"(' documentary ',)"
 Southern Discomfort (2017) ,"(' documentary ',)"
" ""Vessel: A Devil's Tale"" (2016) ",()
 Monster High: Great Scarrier Reef (2016) ,()
 Air (????) ,"(' comedy ',)"
" ""Making Monsters"" (2011) ","(' documentary ',)"
 Hundred Percent (1998) ,"(' comedy ',)"
 Slumber Party Slaughterhouse: The Game (2008) ,"(' horror ',)"
 Jane Doe: Ties That Bind (2007) ,"(' short ',)"
 Mardane khashen (1971) ,"(' drama ',)"
 Cesta ven (2014) ,"(' drama ',)"
 Within Us (2007) ,()
 Hawaiki Nui Va'A: World Championship Canoe Race (1997) ,()
 A Door Will Open (1940) ,"(' drama ',)"
 17 Seconds (2013) ,"(' documentary ',)"
 Nosotros en particular (1985) ,()
 Nadie hablará de nosotras cuando hayamos muerto (1995) ,()
 Jack the Ripper: The German Suspect (2011) ,()
 House of Salem (2016) ,"(' horror ',)"
 Tower of Song (1998) ,"(' documentary ',)"
 Mille mois (2003) ,"(' drama ',)"
 Visins di Cjase (2012) ,"(' comedy ',)"
 Fremdgehen (2010) ,"(' drama ',)"
 Late Watch (2004) ,()
 Black Natchez (1967) ,"(' documentary ',)"
 A New Tradition (2008) ,()
 The Shattering (2015) ,"(' horror ',)"
 Raíces Aéreas: Dramaturgos (2004) ,"(' documentary ',)"
 Journey to the Center of Time (1967) ,()
 Sentimental Education (1998) ,"(' drama ',)"
 Nel regno di Napoli (1978) ,"(' drama ',)"
 Swamper (2005) ,"(' comedy ',)"
 The Nine Lives of Marion Barry (2009) ,()
 My Playground (2009) ,"(' documentary ',)"
 She Got Game (2015/I) ,"(' documentary ',)"
 Complot (1999) ,()
 East Side Sushi (2014) ,"(' drama ',)"
 Today's Special: New York Indian (2012) ,"(' reality-tv ',)"
" ""The Grass Is Always Greener"" (????) ",()
 Broken Barriers (1924) ,"(' drama ',)"
 Macheads (2009) ,"(' documentary ',)"
 Ichchhemotir Gappo (2015) ,"(' drama ', ' romance ')"
 Born Warriors Redux: Bound Fists (2016) ,"(' documentary ',)"
 Voley (2014) ,"(' comedy ',)"
 Hungry Hill (1947) ,"(' horror ',)"
" ""Tu Video Top 10"" (2014) ",()
 Dragon's Lair (1990) ,()
 Chaos for Canines (2015) ,()
 Pieds nus dans l'aube (2017) ,()
" ""The Wonderful Stories of Professor Kitzel"" (1972) ",()
 Murmurations (Rome) ,"(' documentary ',)"
 Escape Room (2017/I) ,"(' horror ',)"
 Kyrkoherden (1970) ,()
 Seattle's Loch Ness: The Lake Washington Sea Monster (2012) ,"(' documentary ',)"
 The Colours of Cultural Diversity (2010) ,"(' documentary ',)"
 Feeding Obesity (2014) ,"(' documentary ',)"
 Shadow of the Boomerang (1960) ,()
 Monsteret (2002) ,()
 Just for You (1964) ,()
 Cas lásky a nadeje (1976) ,"(' drama ',)"
 Nocturnal Jake (2009) ,"(' drama ',)"
 Caesar and Claretta (1975) ,()
 Kinderraub in Rio - Eine Mutter schlägt zurück (2000) ,()
 Son of Hitler (1979) ,()
 Des Teufels General (1997) ,()
 A Reel Man (2005) ,"(' documentary ',)"
 Hodet mitt (2004) ,"(' short ',)"
 Amir (2016) ,()
 Sing Your Way Home (1945) ,"(' comedy ',)"
 22 After (2014) ,"(' documentary ',)"
 Seemabaddha (1971) ,"(' drama ',)"
 The Yellow Ticket (1918) ,"(' drama ',)"
 Which Way Home (2009) ,"(' documentary ',)"
" ""Een Mol In"" (2013) ",()
" ""Hombre Cosmo 2014"" (2014) ",()
 Dreaming in Black and White (2002) ,"(' drama ',)"
 An Evening with Nat King Cole (1963) ,()
 Desassossego (Filme das Maravilhas) (2010) ,()
 Grampa Presents (1988) ,"(' horror ',)"
 To the Hills 2: 25 Independent Short Films in One (2006) ,"(' short ',)"
 The Nightmare Before Christmas: Oogie's Revenge (2004) ,"(' horror ',)"
" Glamour Model Mum, Baby & Me (2012) ",()
 Herr Pendel - flickorna (1999) ,()
 Cuban HipHop: Desde el Principio (2006) ,"(' documentary ',)"
 Iris (????/VII) ,"(' drama ', ' thriller ')"
 Mirrors (2013/V) ,"(' documentary ',)"
 Peril (2000) ,"(' drama ',)"
 Witchcraft XII: In the Lair of the Serpent (2002) ,"(' horror ',)"
 Pucker Up (2005) ,"(' documentary ', ' short ')"
 Die Konsequenz (1977) ,"(' drama ',)"
 Cuando den las Tres (2015) ,"(' drama ',)"
 The Frogmarch (2015) ,()
 Section 753.2 (2009) ,"(' drama ',)"
 Students Turn for a Change (2004) ,"(' documentary ',)"
 The Crawlspace: Frankenstein's Legend (2015) ,()
 Itipini Community Project (2008) ,()
 My Own City (2011) ,"(' documentary ',)"
 Novaro El Coloso Mexicano (2017) ,"(' documentary ',)"
 Sincerely Camp Starlight (2019) ,"(' horror ',)"
 Wakaranai: Where Are You? (2009) ,"(' drama ',)"
 Red Sneakers (2008) ,"(' short ',)"
" ""Girl 17"" (2015) ",()
 Francisco Sánchez: Paco de Lucía (2002) ,"(' documentary ',)"
 Tempo (1998) ,"(' short ',)"
" ""Back to Basic"" (2017) ",()
 O Candidato Vieira (2005) ,"(' documentary ',)"
 Shattering The Silence Tour and Documentary Project Connie J Lee (2016) ,"(' drama ',)"
" ""I Like You Just the Way I Am"" (2016) ","(' comedy ',)"
 Monsieur (2004) ,()
 Trekoff: The Motion Picture (2016) ,"(' comedy ',)"
 Never Have I Ever (2009) ,()
 That All May Be One (2008) ,"(' documentary ',)"
 Frauensee (2012) ,"(' drama ',)"
" Moskvich, im ser (2015) ","(' drama ',)"
 The Immigration Lawyer: Shattered Freedom (2013) ,"(' documentary ', ' drama ')"
 Rise of the Entrepreneur: The Search for a Better Way (2014) ,"(' documentary ',)"
" ""Voennaya razvedka. Severnyy front"" (2012) ","(' documentary ',)"
 The Crab (1917) ,"(' drama ',)"
 Ten Tiny Love Stories (2002) ,"(' short ',)"
 Les siamoises (1999) ,()
 Blood & Orchids (1986) ,"(' drama ',)"
 Easy Money (2012/II) ,"(' short ',)"
 Paving the Way (2006) ,()
 How Some Animals Behave (1919) ,"(' documentary ', ' short ')"
 Portrait of Abuse: An American Epidemic (2007) ,"(' documentary ',)"
 Sai gung dik tung wa (2003) ,"(' drama ',)"
 The Making of 'Three Caballeros' (1994) ,"(' documentary ', ' short ')"
 Prodavinci: The Gentleman's Wager (2015) ,()
 Playboy: Barefoot Beauties (2002) ,"(' short ',)"
 Female MMA Revolution (2002) ,()
" ""773 the Go"" (2015) ",()
 The Next California Earthquake (????) ,"(' documentary ',)"
 Il tesoro di Rommel (1955) ,()
" ""Akili and Me"" (2016) ",()
 Russian Pizza Blues (1992) ,()
 The Final Service (????) ,"(' drama ',)"
 Norma (2007) ,"(' documentary ',)"
" ""Grateful Nation"" (2009) ","(' reality-tv ',)"
" ""Dead Reckoning TV"" (2013) ",()
 Answering the Call (2016) ,"(' documentary ',)"
 Becoming Attractions: The Trailers of Humphrey Bogart (2000) ,()
" ""Fashion Stories of NYC"" (2013) ",()
 No Smoking in Sarajevo (2016) ,()
" ""Smarter Every Day"" (2011) ",()
 Smiling Through the Mystery (2017) ,"(' drama ',)"
 Memilkkot Pil Muryeop (1969) ,"(' drama ',)"
 Madman Muntz: American Maverick (2005) ,"(' documentary ',)"
 Dually Wed (2007) ,"(' drama ',)"
 Schwestern oder Die Balance des Glücks (1979) ,"(' drama ',)"
 Ya sharr mout (2008) ,"(' documentary ',)"
 Raymond Did It (2011) ,()
" American Horror Story: Freak Show, Two Heads Are Better Than One (2015) ",()
 Zlatye gory (1931) ,"(' drama ',)"
 Medaljon sa tri srca (1962) ,"(' drama ',)"
 When We Grow Up (2018) ,"(' drama ',)"
 Walk of Death (2009) ,"(' drama ',)"
 Servants' Entrance (1934) ,()
 Nürnberg und seine Lehre (1948) ,()
 Bareback ou La guerre des sens (2006) ,()
 Proof of the Devil 2 (2015) ,"(' horror ',)"
" ""Jazz and Blues TV"" (2014/II) ","(' music ',)"
 American Mohamet (2017) ,"(' drama ',)"
 Angelfall (????) ,()
 Scooby Doo 2: Monsters Unleashed (2004) ,"(' horror ',)"
 Black Cat (Gatto nero) (1981) ,"(' horror ',)"
 Tatahi muna (2009) ,"(' documentary ',)"
 Two on One (2005) ,()
 Volavérunt (1999) ,"(' drama ',)"
" ""The Listener"" (2015) ","(' short ',)"
 Bekar odasi (1967) ,"(' drama ',)"
 Fidel (1971) ,"(' documentary ',)"
 Mario und der Zauberer (1994) ,"(' drama ',)"
 Sabotage (2009) ,()
" ""Cuff"" (2017) ",()
 Afscheid van de Maan (2014) ,"(' comedy ',)"
 The Story of Furious Pete (2010) ,"(' documentary ',)"
 Steak or Ramen (2017) ,"(' short ',)"
" ""30 Shakh LeSha'a"" (2012) ","(' drama ',)"
 ...Jayate (1997) ,"(' comedy ',)"
 Salzfische (2001) ,()
" ""13 Weeks"" (2005) ","(' reality-tv ',)"
 24 Stunden Schlesisches Tor (2009) ,"(' short ',)"
 Luna llena (2012) ,()
 Real Movie (2011) ,()
 Lords of Midnight (1984) ,()
 Never Land (2010) ,()
 Bloody Business (2006) ,"(' documentary ',)"
 Clair de Lune (1995) ,()
 Vinterland (2007) ,()
 Midwatch (1999) ,()
" ""The Passion Play Documentary"" (2012) ","(' documentary ',)"
 Model Test (2016) ,()
 Dead Bigfoot: A True Story (2013) ,"(' documentary ',)"
 Estrellados (1930) ,()
 The Explorer of the Yarlung Zangbo Grand Canyon (2017) ,()
 Panic Time (2007) ,()
 A Weigh with Words (2007) ,"(' documentary ',)"
 Dan Bell: Cutting/Room/Floor #18 - Nightmare Fuel Meat Factory (2016) ,"(' short ',)"
 Maa (2001) ,"(' documentary ',)"
" Cristobalito, the Calypso Colt (1970) ","(' drama ',)"
 Miracle Nutrition Radio: The Man Behind the Microphone (2008) ,"(' documentary ',)"
 Cosmo Kids (1998) ,()
 Batbabe: The Dark Nightie (2009) ,()
 Väärät juuret (2009) ,"(' drama ',)"
" ""Redress Remix"" (2010) ","(' documentary ',)"
 Guilty Until Proven Innocent (1991) ,"(' comedy ',)"
 Anthem (2005) ,"(' documentary ',)"
 Juchitán de las locas (2002) ,()
 Pasión prohibida (1980) ,"(' drama ',)"
 If You Build It (2013) ,"(' documentary ', ' drama ')"
" ""Haunting Melissa"" (2013) ","(' horror ',)"
 Biswa Mast Aadmi (2017) ,"(' comedy ',)"
" Adultero lui, adultera lei (1963) ",()
" ""One Happy Family"" (1961) ",()
 Illuminati: The Grand Illusion (2017) ,"(' documentary ',)"
" Dream Girl, Dream World (2016) ","(' short ',)"
 L'oeil du malin (1962) ,"(' drama ',)"
 Stay All Night (????) ,()
 We Take Form (2017) ,()
 Ek Khondo Jomi (2004) ,"(' drama ',)"
 Collision: Christopher Hitchens vs. Douglas Wilson (2009) ,"(' documentary ',)"
 Sonic Rock Solstice 2010 (2011) ,()
 Canoe Man (2010) ,"(' drama ',)"
 They Cast No Shadows (2019) ,"(' drama ',)"
 Premji: Rise of a Warrior (2015) ,()
" ""The Josh Moore Show"" (2017) ","(' comedy ',)"
 Hot Thrills and Warm Chills (1967) ,()
 Class Dismissed: How TV Frames the Working Class (2005) ,"(' documentary ',)"
 Belonging (2006) ,"(' documentary ',)"
 Dad's Week Off (1997) ,()
 American Guinea Pig: The Song of Solomon (2017) ,"(' horror ',)"
 Every Home Should Have One (1970) ,"(' comedy ',)"
" ""Such Is Life: The Troubled Times of Ben Cousins"" (2010) ",()
 Kasturi Nivasa (1971) ,"(' action ',)"
 Nick Hewer: Countdown to Freetown (2013) ,"(' documentary ',)"
" ""7th Street Theater"" (2007) ",()
 Kalavani (2010) ,"(' drama ',)"
 We Won't Go Back (1989) ,"(' documentary ',)"
 Gekijô ban Tottoko Hamutaro: Ôrora no kiseki - Ribon chan kiki ippatsu! (2003) ,()
 The Offering (1997) ,()
 Wo xin fei xiang (2005) ,"(' drama ',)"
 The Man Who Knew Bush (2004) ,"(' documentary ',)"
 Pulling John (2009) ,()
 Bring Children from Streets (2009) ,"(' documentary ',)"
 Banned! In America IV (1999) ,()
 Revenant (????/III) ,()
 Last Thug Standing (2017) ,()
 Release the Funny (2007) ,"(' documentary ',)"
 College Park (2009) ,()
 September Runs Red (2012) ,()
 Der Tiger von Eschnapur (1938) ,"(' drama ',)"
 Silicon Valley Timelapse (2008) ,"(' documentary ',)"
" ""That's So 80s"" (2012) ",()
 Jam in the Dam (2006) ,"(' documentary ', ' music ')"
 In Your Face (2002) ,()
 Voices in Wartime (2005) ,"(' documentary ',)"
 Cumbre de Monterrey (Reflexiones locales en torno a una propuesta global) (2004) ,"(' documentary ',)"
 The Fallen Ones (2005) ,()
 Eye of the Stranger (1993) ,"(' comedy ',)"
 Africa Adventure (1954) ,()
 The Ultimate Snowboard Gear Guide (2016) ,()
 Cat Burglar Conflict (2013) ,"(' adventure ',)"
 The Second Opinion (2008) ,"(' documentary ',)"
 Sex in the Naked City (2007) ,"(' short ',)"
